2
1
30
18053.0	19893.0
18127.0	19847.0
18208.0	19795.0
18268.0	19755.0
18344.0	19707.0
18418.0	19655.0
18488.0	19600.0
18555.0	19549.0
18638.0	19484.0
18707.0	19420.0
18764.0	19368.0
18812.0	19323.0
18860.0	19279.0
18937.0	19201.0
18992.0	19142.0
19054.0	19071.0
19103.0	19015.0
19166.0	18946.0
19219.0	18871.0
19277.0	18799.0
19337.0	18723.0
19379.0	18668.0
19423.0	18596.0
19465.0	18533.0
19506.0	18465.0
19544.0	18399.0
19581.0	18332.0
19636.0	18226.0
19671.0	18152.0
19709.0	18066.0
